nombre,categoria,sub_categoria,imagen,calificacion,precio_descuento,precio_actual,id_producto
boAt BassHeads 100 in-Ear Wired Headphones with Mic (Black),"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/719elVA3FvL._AC_UL320_.jpg,4.1,399.0,999.0,1
Lapster 5-in-1 Multi-Function Laptop Cleaning Brush/Keyboard Cleaning kit/Gadget Cleaning kit Gap Duster Key-Cap Puller fo...,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/51+UotA4ExL._AC_UL320_.jpg,4.2,97.0,999.0,2
SanDisk Cruzer Blade 32GB USB Flash Drive,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61DjwgS4cbL._AC_UL320_.jpg,4.3,278.0,650.0,3
"Portronics Toad 23 Wireless Optical Mouse with 2.4GHz, USB Nano Dongle, Optical Orientation, Click Wheel, Adjustable DPI(B...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/41KuRShR97L._AC_UL320_.jpg,4.1,299.0,599.0,4
"ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Black)","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/51D37uhFFBL._AC_UL320_.jpg,3.5,149.0,399.0,5
boAt Bassheads 220 Wired in Ear Earphones(Black Indi),"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61iSV4o+X-L._AC_UL320_.jpg,4.1,399.0,999.0,6
"JK Copier Paper - A4, 75 GSM, 1 Ream, 500 Sheets","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61hhCaLLcuL._AC_UL320_.jpg,4.3,349.0,375.0,7
"Scotch Double Sided Heavy Duty Tape(1m holds 4.5Kgs) for indoor hanging applications (Photo frames, Mirrors, Key Holders, ...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/815GcGXjjFL._AC_UL320_.jpg,3.9,144.0,165.0,8
"STRIFF Mpad Mouse Mat 230X190X3mm Gaming Mouse Pad, Non-Slip Rubber Base, Waterproof Surface, Premium-Textured, Compatible...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61zroMjd9FL._AC_UL320_.jpg,4.3,99.0,999.0,9
LAPSTER Spiral Charger Spiral Charger Cable Protectors for Wires Data Cable Saver Charging Cord Protective Cable Cover Set...,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61m5Uu4OMJL._AC_UL320_.jpg,4.1,81.0,999.0,10
"Duracell Alkaline AAA Batteries, Pack of 10","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/71kYkbQj6bL._AC_UL320_.jpg,4.4,188.0,220.0,11
"boAt Type C A325 Tangle-free, Sturdy Type C Cable with 3A Rapid Charging & 480mbps Data Transmission(Black)","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/71eVAHH3tsL._AC_UL320_.jpg,4.1,199.0,499.0,12
"Logitech B170 Wireless Mouse, 2.4 GHz with USB Nano Receiver, Optical Tracking, 12-Months Battery Life, Ambidextrous, PC/M...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/516LU0H963L._AC_UL320_.jpg,4.4,595.0,895.0,13
"GM 3060 E-Book 4 + 1 Power Strip 240 Volts with Master Switch, Indicator, Safety Shutter & 4 International sockets, Red & ...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/519RgXY+lRL._AC_UL320_.jpg,4.5,535.0,590.0,14
"OneAssist 1 Year Extended Warranty for Smartwatch up to 3000 - Email Delivery Within 2 Hours, No Physical Kit","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61ARj+szfWL._AC_UL320_.jpg,4.0,59.0,138.0,15
"HP X1000 Wired USB Mouse with 3 Handy Buttons, Fast-Moving Scroll Wheel and Optical Sensor works on most Surfaces, 3 years...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61KSceiLHwL._AC_UL320_.jpg,4.3,349.0,649.0,16
"ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Green)","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61+0KSoFrOL._AC_UL320_.jpg,3.5,149.0,399.0,17
boAt BassHeads 220 Wired in Ear Earphones with Inline Mic(Black),"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61iSV4o+X-L._AC_UL320_.jpg,4.1,399.0,999.0,18
"ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Blue)","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61+5q4oGJWL._AC_UL320_.jpg,3.5,149.0,399.0,19
"Dell MS116 1000Dpi USB Wired Optical Mouse, Led Tracking, Scrolling Wheel, Plug and Play.","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61onAgKP5gL._AC_UL320_.jpg,4.5,299.0,650.0,20
"SanDisk Ultra microSD UHS-I Card 32GB, 120MB/s R","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61MHVeEPw3L._AC_UL320_.jpg,4.4,369.0,700.0,21
"Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey)","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/51Sk5hmB7nL._AC_UL320_.jpg,4.2,149.0,399.0,22
Panasonic CR-2032/5BE Lithium Coin Battery - Pack of 5,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/71veSubNjuL._AC_UL320_.jpg,4.4,200.0,250.0,23
Portronics MODESK POR-122 Universal Mobile Tabletop Holder (Black),"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/51u2MqPaQwL._AC_UL320_.jpg,4.1,99.0,699.0,24
"JBL C50HI, Wired in Ear Headphones with Mic, One Button Multi-Function Remote, Lightweight & Comfortable fit (Black)","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61bKM6CSSFL._AC_UL320_.jpg,3.9,399.0,699.0,25
boAt bassheads 105 Wired in Ear Earphones with Mic (Green),"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51wlAzvx9SS._AC_UL320_.jpg,4.0,449.0,999.0,26
"PIDILITE Fevicryl Acrylic Colours Sunflower Kit (10 Colors x 15 ml) DIY Paint, Rich Pigment, Non-Craking Paint for Canvas,...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71PwFQgur4L._AC_UL320_.jpg,4.4,186.0,225.0,27
"Duracell USB Type C, 3A Braided Sync & Fast Charging Cable, 3.9 Ft (1.2M), QC 2.0/3.0 Ultra Fast Charging, Compatible with...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71sMR4yd6UL._AC_UL320_.jpg,4.3,368.0,699.0,28
Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter with Charge & Sync Function for All Type-C Devices (G...,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51CvP9P2efL._AC_UL320_.jpg,4.3,129.0,339.0,29
"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devi...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61ZeHF2Cf4L._AC_UL320_.jpg,4.0,199.0,299.0,30
"boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A Fast Charging & 480mbps Data Transmission (Black)","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71ctu8Z759L._AC_UL320_.jpg,4.0,139.0,499.0,31
"Gizga Essentials Hard Drive Case Shell, 6.35cm/2.5-inch, Portable Storage Organizer Bag for Earphone USB Cable Power Bank ...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61gd9kbUlWL._AC_UL320_.jpg,4.5,199.0,599.0,32
"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/31IvNJZnmdL._AC_UL320_.jpg,3.9,199.0,999.0,33
"Mi Type C 3Amp 100cm Fast Charge Cable Black|USB to Type C|Supports Upto 22.5W Fast Charging|Suitable for All Smartphones,...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71xuP3mbiRL._AC_UL320_.jpg,4.3,229.0,299.0,34
boAt Rugged v3 Extra Tough Unbreakable Braided Micro USB Cable 1.5 Meter (Black),"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61b91WUDxmL._AC_UL320_.jpg,4.2,299.0,799.0,35
Syska SSK-EBS-0402 ABS 4 Way Power Strip,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61o3mAnLhCL._AC_UL320_.jpg,4.0,449.0,470.0,36
